SN,Team,Goals
1,France,24
2,Belgium,22
3,Croatia,20
4,Germany,20
5,Brazil,19
6,Colombia,18
7,Netherlands,15
8,England,14
9,Argentina,14
10,Russia,13
11,Switzerland,12
12,Spain,11
13,Uruguay,11
14,Portugal,10
15,Mexico,8
16,Japan,8
17,Costa Rica,7
18,Algeria,7
19,Chile,6
20,Nigeria,6
21,South Korea,6
22,Sweden,6
23,Australia,5
24,United States,5
25,Tunisia,5
26,Ivory Coast,4
27,Bosnia and Herzegovina,4
28,Ghana,4
29,Senegal,4
30,Greece,3
31,Ecuador,3
32,Iran,3
33,Denmark,3
34,Italy,2
35,Saudi Arabia,2
36,Egypt,2
37,Morocco,2
38,Iceland,2
39,Peru,2
40,Serbia,2
41,Panama,2
42,Poland,2
43,Cameroon,1
44,Honduras,1
